Name,Positions,Playtime,Goals,Assists,ShotsAveragePerGame,PassSuccess
Etienne Capoue,",  D(C),M(CL)  ",840	,-	,-	,1	,88.4	
David Soria,",  GK  ",1260	,-	,-	,-	,51	
Manu Koné,",  DMC  ",1226	,1	,1	,0.7	,86.6	
Rúben Dias,",  D(C)  ",872	,-	,-	,0.4	,92.2	
Nicolò Rovella,",  DMC  ",804	,-	,-	,0.9	,89.2	
Marcus Rashford,",  AM(CLR),FW  ",1130	,4	,2	,2.3	,75.7	
William Carvalho,",  DMC  ",931	,2	,-	,0.9	,86.2	
Neco Williams,",  D(LR),M(LR)  ",1078	,-	,-	,1.3	,68.7	
Boulaye Dia,",  AM(R),FW  ",961	,6	,2	,1.1	,77.7	
Folarin Balogun,",  FW  ",1080	,8	,1	,2.6	,66	
Andrew Robertson,",  D(L),M(L)  ",864	,-	,4	,0.4	,83.2	
Gédéon Kalulu,",  D(R)  ",1080	,-	,3	,0.3	,79.8	
Marshall Munetsi,",  D(C),DMC  ",905	,2	,-	,1.8	,72.7	
Kalidou Koulibaly,",  D(C)  ",744	,1	,-	,0.8	,85.2	
Eray Cömert,",  D(C)  ",872	,1	,-	,0.6	,87.8	
Kenny Tete,",  D(CR),M(R)  ",710	,-	,3	,0.3	,73.9	
Aaron Cresswell,",  D(CL),M(L)  ",1242	,-	,-	,0.4	,81.3	
Michael Olise,",  AM(CLR)  ",754	,1	,2	,1.1	,78.7	
Stijn Spierings,",  M(C)  ",1350	,2	,-	,0.9	,84.9	
José Giménez,",  D(CR)  ",734	,-	,-	,1.2	,87.3	
Lisandro Martínez,",  D(CL),DMC  ",1206	,-	,-	,0.2	,86.4	
Virgil van Dijk,",  D(C)  ",1260	,1	,-	,1.1	,88.8	
Laurent Abergel,",  DMC  ",810	,-	,1	,0.4	,90.4	
Rui Silva,",  GK  ",1080	,-	,-	,-	,65.6	
Stefan de Vrij,",  D(C)  ",995	,1	,-	,0.7	,88	
Anthony Rouault,",  D(C)  ",1343	,1	,-	,0.5	,87.9	
Che Adams,",  AM(CL),FW  ",1067	,4	,1	,2.1	,70.7	
Ellyes Skhiri,",  DMC  ",1260	,-	,-	,1.1	,89.1	
Lukasz Fabianski,",  GK  ",1245	,-	,-	,-	,64.9	
Fernando Martínez,",  GK  ",1170	,-	,-	,-	,67.5	
Mouctar Diakhaby,",  D(C)  ",794	,2	,-	,0.4	,84.4	
Harvey Barnes,",  AM(CL)  ",1091	,6	,-	,2.5	,75.3	
Eric García,",  D(C)  ",610	,1	,-	,0.3	,91.4	
Salis Abdul Samed,",  DMC  ",1350	,1	,-	,0.4	,92.3	
Florian Niederlechner,",  AM(CR),FW  ",912	,4	,1	,2	,60.4	
Oriol Romeu,",  DMC  ",990	,1	,-	,1	,88.4	
Hamari Traoré,",  D(R),M(R)  ",1183	,-	,1	,0.9	,87.8	
Noussair Mazraoui,",  D(R)  ",553	,-	,3	,0.4	,87.9	
Leonardo Balerdi,",  D(C)  ",1203	,-	,1	,0.1	,85.4	
Sergio Escudero,",  D(L),M(L)  ",711	,-	,-	,1.2	,73.6	
David García,",  D(C)  ",1042	,1	,-	,0.7	,80.4	
Loïs Openda,",  FW  ",947	,7	,-	,2.5	,70.8	
Stefan Savic,",  D(C)  ",886	,-	,-	,-	,87.8	
Álex Moreno,",  D(L),M(L)  ",1170	,-	,3	,0.8	,78.6	
Pasquale Mazzocchi,",  D(R),M(LR)  ",1208	,2	,2	,0.7	,80.3	
Ben Davies,",  D(CL),M(L)  ",995	,2	,1	,0.6	,86.7	
Karim Onisiwo,",  AM(LR),FW  ",1309	,4	,1	,2.4	,61.9	
Dan Burn,",  D(CL),M(L)  ",1227	,-	,-	,0.6	,79.9	
Felix Nmecha,",  M(C)  ",665	,2	,2	,1.2	,71.8	
Marius Wolf,",  D(R),M(CLR)  ",516	,1	,1	,1	,73.3	
Andreas Pereira,",  M(CLR)  ",1251	,2	,4	,1.3	,68.1	
Sergio Ramos,",  D(CR)  ",1012	,-	,1	,0.4	,95.6	
Jordan Veretout,",  M(C)  ",983	,1	,2	,0.6	,86.4	
Eric Dier,",  D(CR),DMC  ",1285	,2	,-	,0.6	,87.6	
Mohamed Simakan,",  D(CR)  ",673	,1	,1	,0.7	,84.2	
Gavi,",  AM(CL)  ",803	,-	,1	,0.4	,90.6	
Gregor Kobel,",  GK  ",990	,-	,-	,-	,81.1	
Gonzalo Plata,",  AM(R)  ",594	,-	,2	,1.1	,79	
Dante,",  D(C)  ",1260	,-	,-	,0.6	,91.3	
Denzel Dumfries,",  D(R),M(R)  ",1085	,1	,2	,1.3	,78.3	
Yunis Abdelhamid,",  D(C)  ",1350	,-	,-	,1	,81.2	
Vicente Guaita,",  GK  ",1260	,-	,-	,-	,74.4	
Johan Gastien,",  DMC  ",1218	,1	,2	,0.6	,84.6	
César Azpilicueta,",  D(CLR),M(R)  ",672	,-	,-	,0.3	,83.1	
Steve Mandanda,",  GK  ",1126	,-	,1	,-	,68	
Lazar Samardzic,",  M(C)  ",523	,3	,1	,1.1	,87.4	
Mario Lemina,",  DMC  ",728	,-	,-	,0.5	,90.4	
Alex Iwobi,",  M(CLR)  ",1333	,1	,5	,0.9	,82	
Dejan Ljubicic,",  M(CR)  ",565	,3	,-	,1.7	,81	
Jimmy Cabot,",  M(LR)  ",508	,-	,1	,0.5	,83.4	
Silas Mvumpa,",  M(LR),FW  ",1051	,3	,2	,1.6	,78.6	
Ante Rebic,",  AM(CLR),FW  ",429	,3	,2	,1.3	,60.9	
James Justin,",  D(CLR),M(LR)  ",1254	,-	,-	,0.4	,81.5	
Óscar Trejo,",  M(CLR),FW  ",849	,2	,2	,0.8	,83.6	
Azzedine Ounahi,",  AM(CR)  ",1106	,-	,-	,1.6	,88.6	
Facundo Medina,",  D(CL)  ",1226	,1	,1	,0.5	,89.4	
Ola Aina,",  D(CLR),M(LR)  ",582	,1	,-	,0.6	,77.9	
Alidu Seidu,",  D(CR)  ",1215	,-	,-	,0.3	,90	
Nemanja Gudelj,",  D(C),M(C)  ",1036	,2	,-	,1.5	,91.9	
Vanderson,",  D(R),M(R)  ",857	,-	,1	,0.5	,81.5	
Cheick Oumar Doucouré,",  DMC  ",970	,-	,1	,0.8	,87	
Brice Samba,",  GK  ",1350	,-	,-	,-	,72.6	
Lewis Ferguson,",  M(C)  ",512	,3	,-	,1	,81.7	
Martín Zubimendi,",  DMC  ",1151	,1	,2	,0.4	,84.5	
Emmanuel Agbadou,",  D(C),DMC  ",970	,-	,-	,0.8	,84.4	
Edu Expósito,",  M(C)  ",781	,2	,2	,0.8	,77.3	
Federico Baschirotto,",  D(C)  ",1350	,1	,-	,0.6	,75.7	
Lars Stindl,",  M(CLR),FW  ",685	,1	,5	,1.2	,78.2	
Johann Lepenant,",  M(C)  ",833	,-	,-	,0.8	,88.4	
Óscar Rodríguez,",  AM(CLR)  ",1003	,2	,-	,2	,84.6	
Farès Chaïbi,",  Midfielder  ",835	,2	,4	,1.5	,74.5	
Nicolás Domínguez,",  M(C)  ",971	,1	,1	,1.2	,81.1	
Thierry Correia,",  D(R),M(R)  ",1214	,-	,-	,0.3	,80.5	
Montassar Talbi,",  D(C)  ",1350	,-	,1	,0.2	,88.7	
Bryan Mbeumo,",  AM(LR),FW  ",1134	,3	,1	,1.9	,73.4	
Javi Galán,",  D(L),M(L)  ",1256	,-	,1	,0.4	,81.6	
Arkadiusz Milik,",  AM(C),FW  ",709	,4	,-	,1.7	,80.1	
Mounaïm El Idrissy,",  FW  ",1065	,3	,-	,1.8	,73.8	
Quentin Merlin,",  D(L),M(L)  ",1133	,-	,1	,0.8	,80.2	
Philipp Lienhart,",  D(C)  ",1348	,-	,-	,0.3	,86.6	
Mohammed Salisu,",  D(CL)  ",1260	,-	,1	,0.6	,78.9	
Nikola Vlasic,",  AM(CLR),FW  ",1281	,4	,2	,2.3	,79.7	
Takefusa Kubo,",  AM(CLR),FW  ",850	,2	,2	,1.8	,78.4	
Milos Veljkovic,",  D(C),DMC  ",1036	,1	,-	,0.2	,81	
Jonjoe Kenny,",  D(LR),M(R)  ",1350	,-	,1	,0.4	,75.6	
Leonardo Sernicola,",  M(R)  ",905	,1	,1	,1.1	,71.2	
Santi Comesaña,",  M(C)  ",734	,1	,-	,1	,84.2	
Óscar Valentín,",  DMC  ",961	,-	,-	,0.6	,84.5	
Brian Oliván,",  D(CL)  ",1212	,-	,3	,0.6	,71	
Brenden Aaronson,",  AM(CLR)  ",1196	,1	,2	,1.4	,80	
Vitinha,",  M(C)  ",843	,-	,-	,1	,93.6	
Samu Castillejo,",  AM(CLR)  ",618	,2	,-	,1.9	,86.5	
Luke Shaw,",  D(CL),M(L)  ",786	,-	,1	,0.4	,85	
Flavien Tait,",  M(CLR)  ",1047	,1	,-	,1.1	,85.7	
Habib Diallo,",  AM(R),FW  ",1132	,6	,-	,1.6	,70.5	
Hugo Lloris,",  GK  ",1350	,-	,-	,-	,77.5	
Luca Pellegrini,",  D(L),M(L)  ",559	,-	,-	,1.6	,72.7	
Maxime Estève,",  D(C)  ",808	,-	,-	,0.3	,79.8	
Nico Elvedi,",  D(CLR)  ",1126	,2	,-	,0.5	,92.4	
Joe Gomez,",  D(CLR)  ",885	,-	,-	,0.3	,85	
Walace,",  DMC  ",1285	,-	,-	,0.9	,84.3	
Óscar De Marcos,",  D(LR),M(CR)  ",1079	,-	,3	,0.1	,80.7	
Alejandro Catena,",  D(C)  ",1260	,1	,1	,0.2	,82.9	
Brahim Díaz,",  AM(CLR)  ",664	,4	,1	,1.2	,78.4	
Kaoru Mitoma,",  M(L)  ",311	,1	,1	,0.3	,81.8	
Mattéo Guendouzi,",  M(C)  ",1054	,1	,2	,1.1	,86.2	
Djibril Sow,",  M(C)  ",1169	,2	,-	,0.7	,86.5	
Marc Roca,",  DMC  ",1042	,1	,1	,1	,82.2	
Antonio Raíllo,",  D(C)  ",1170	,1	,-	,0.3	,86.4	
Mathias Autret,",  M(CLR)  ",869	,2	,2	,1.4	,82.1	
Lucas Robertone,",  AM(C)  ",1026	,1	,1	,1.1	,83.4	
Ivan Perisic,",  M(CLR),FW  ",833	,-	,4	,0.7	,74.6	
Kiernan Dewsbury-Hall,",  M(C)  ",1139	,1	,2	,0.7	,78.7	
Danny Welbeck,",  AM(CLR),FW  ",998	,-	,2	,2	,82.9	
Yeremy Pino,",  AM(LR)  ",700	,1	,-	,1	,80.2	
Christian Günter,",  D(L),M(L)  ",1316	,-	,1	,1.3	,76.6	
Santiago Bueno,",  D(C)  ",1260	,-	,1	,0.6	,87.2	
Rolando Mandragora,",  DMC  ",870	,1	,1	,1.7	,86.5	
Kevin Stöger,",  M(CL)  ",1205	,1	,1	,1.4	,74.9	
Amadou Onana,",  DMC  ",1038	,-	,1	,1.1	,80.8	
Julien Laporte,",  D(C)  ",1350	,-	,-	,0.4	,86.3	
Aaron Ramsey,",  M(CLR)  ",574	,1	,-	,0.8	,87.8	
Elye Wahi,",  AM(L),FW  ",1175	,6	,1	,1.9	,68	
Nicolas Pallois,",  D(C)  ",1190	,-	,-	,0.2	,85.4	
Xaver Schlager,",  M(C)  ",829	,1	,-	,0.4	,86.1	
Nordi Mukiele,",  D(CR),M(R)  ",675	,-	,1	,0.5	,90.6	
Marcel Sabitzer,",  M(CLR),FW  ",626	,1	,1	,1.1	,87.9	
Mathias Jensen,",  M(C)  ",1138	,1	,3	,0.5	,77	
Aaron Ramsdale,",  GK  ",1260	,-	,-	,-	,63.1	
﻿Javi Sánchez,",  D(C)  ",1007	,1	,-	,0.4	,85.7	
Guillermo Maripán,",  D(C)  ",766	,2	,-	,0.4	,88.2	
Patric,",  D(CR),M(R)  ",754	,-	,-	,0.1	,87.3	
Saïd Benrahma,",  AM(CLR)  ",749	,2	,1	,2.2	,86.6	
Jack Harrison,",  AM(CLR),FW  ",945	,1	,3	,0.8	,71.6	
Kyle Walker-Peters,",  D(LR),M(R)  ",955	,1	,-	,0.5	,75.7	
Daniel Amartey,",  D(CR),DMC  ",914	,-	,-	,0.3	,91.1	
Íñigo Martínez,",  D(C)  ",810	,-	,-	,0.8	,85.7	
Marco Friedl,",  D(CL),M(L)  ",1157	,-	,-	,0.1	,82.7	
Vitaly Janelt,",  DMC  ",993	,1	,1	,0.3	,86.5	
Joe Aribo,",  M(CLR),FW  ",948	,2	,-	,0.8	,73.9	
Perr Schuurs,",  D(C)  ",709	,-	,-	,0.2	,84.3	
Emil Holm,",  M(R)  ",1035	,1	,1	,0.8	,64.2	
Zeki Çelik,",  D(R),M(R)  ",637	,-	,-	,0.2	,76.2	
Thiago Mendes,",  D(CR),M(CR)  ",1171	,-	,1	,0.3	,84.2	
Jonas Omlin,",  GK  ",808	,-	,-	,-	,68.3	
John Stones,",  D(CR)  ",731	,-	,2	,0.6	,94.7	
Yannick Gerhardt,",  D(L),M(CL)  ",700	,3	,-	,1.3	,74.9	
Emanuel Aiwu,",  D(C)  ",969	,-	,-	,0.2	,81.2	
Nathan Patterson,",  D(R),M(R)  ",765	,-	,-	,0.8	,79.6	
Oihan Sancet,",  M(C),FW  ",949	,3	,-	,1.2	,86.8	
Illan Meslier,",  GK  ",1260	,-	,-	,-	,54.9	
Arnau Martinez,",  D(R)  ",814	,2	,1	,1.1	,81.2	
Roque Mesa,",  DMC  ",869	,2	,1	,1.2	,84.1	
Dennis Geiger,",  M(C)  ",1014	,1	,2	,0.2	,87	
Tiago Djaló,",  D(CLR)  ",1109	,2	,-	,0.7	,92.1	
Florian Lejeune,",  D(C)  ",951	,3	,-	,1.2	,82.3	
Morgan Gibbs-White,",  AM(CR),FW  ",1039	,2	,2	,1.5	,68.2	
Hans Hateboer,",  D(R),M(R)  ",1047	,1	,-	,0.6	,80.4	
Raheem Sterling,",  M(CLR),FW  ",956	,3	,1	,1.5	,75.9	
Faitout Maouassa,",  D(L),M(LR)  ",657	,1	,4	,0.8	,68.5	
Manuel Riemann,",  GK  ",1350	,-	,-	,-	,59.2	
Dominik Kohr,",  DMC  ",1178	,2	,-	,1.2	,72.6	
Maximiliano Caufriez,",  D(CR)  ",790	,-	,-	,0.2	,88.4	
Ansu Fati,",  AM(L)  ",462	,3	,3	,2.1	,86.1	
Leon Bailey,",  M(CLR),FW  ",833	,3	,2	,1.2	,69.1	
Mostafa Mohamed,",  FW  ",839	,4	,2	,1.4	,60.7	
Matteo Pessina,",  AM(CR)  ",997	,2	,1	,0.9	,89	
Domingos Duarte,",  D(C)  ",1126	,-	,2	,0.6	,79.5	
Marcelo Brozovic,",  M(CR)  ",621	,2	,-	,1	,87.7	
Alex Meret,",  GK  ",1350	,-	,-	,-	,83.1	
Adrián Embarba,",  AM(CLR),FW  ",424	,1	,3	,1.2	,73.8	
Léo Baptistão,",  AM(CLR),FW  ",569	,2	,2	,1.4	,67.1	
Waldemar Anton,",  D(CR),DMC  ",1346	,1	,-	,0.5	,81.8	
Alex Sandro,",  D(CL),M(L)  ",780	,-	,1	,0.2	,87.4	
Lassana Coulibaly,",  M(CL)  ",1168	,1	,1	,0.4	,85.3	
Beto,",  FW  ",687	,6	,-	,1.4	,55.7	
Fabinho,",  D(CR),DMC  ",998	,-	,-	,0.4	,88.2	
Anthony Jung,",  D(CL),M(L)  ",1150	,2	,2	,0.9	,79.4	
Fran García,",  D(L)  ",1260	,-	,2	,0.7	,85.6	
Leonardo Bonucci,",  D(C)  ",596	,1	,-	,0.3	,85.4	
Edgar Badia,",  GK  ",1260	,-	,-	,-	,69	
Sergio Camello,",  FW  ",940	,2	,2	,2.1	,81.6	
Sebastian Rode,",  D(R),M(C)  ",604	,3	,1	,0.3	,86.6	
Vitaliy Mykolenko,",  D(CL),M(L)  ",1285	,-	,-	,0.3	,77	
Luis Alberto,",  AM(CL),FW  ",541	,3	,1	,0.7	,85.6	
Maxence Caqueret,",  DMC  ",976	,-	,1	,0.6	,87.1	
Predrag Rajkovic,",  GK  ",1260	,-	,-	,-	,59.6	
Boubakary Soumaré,",  DMC  ",675	,-	,-	,0.1	,91.4	
Grischa Prömel,",  M(C)  ",1074	,1	,1	,1.7	,79.8	
Wahbi Khazri,",  M(CLR),FW  ",711	,2	,1	,1.6	,77.2	
Sergi Roberto,",  D(R),M(CR)  ",371	,2	,-	,0.6	,93.9	
Ferland Mendy,",  D(L),M(L)  ",890	,-	,1	,0.1	,92.5	
Jubal,",  D(C)  ",1350	,1	,1	,0.5	,86.8	
Koray Günter,",  D(C)  ",1003	,1	,1	,0.7	,77	
Kai Havertz,",  M(CR),FW  ",889	,3	,-	,1.7	,80.1	
Muhammed Cham,",  AM(C)  ",867	,3	,2	,1.2	,84.2	
Vincent Le Goff,",  D(L),M(L)  ",1350	,-	,-	,0.5	,82.9	
Munas Dabbur,",  AM(C),FW  ",422	,4	,-	,1.1	,73.9	
Jeffrey Gouweleeuw,",  D(C)  ",1197	,-	,-	,0.5	,66.2	
Koke,",  M(CLR)  ",743	,-	,2	,0.3	,84.9	
Kurt Zouma,",  D(CR)  ",1185	,1	,-	,0.7	,86.2	
Flavius Daniliuc,",  D(CR)  ",843	,-	,1	,0.4	,88.8	
Justin Kluivert,",  AM(LR)  ",520	,2	,-	,1.2	,80.6	
João Félix,",  AM(CL),FW  ",512	,3	,3	,1.6	,75.8	
Danilo Cataldi,",  M(C)  ",920	,-	,-	,0.3	,88.5	
Yvon Mvogo,",  GK  ",1183	,-	,-	,-	,69.6	
Massadio Haïdara,",  D(CL),M(L)  ",739	,-	,-	,0.2	,89.4	
Ederson,",  GK  ",1260	,-	,1	,-	,86.6	
Adam Marusic,",  D(CLR),M(LR)  ",1302	,-	,1	,0.4	,89.3	
Saúl Ñíguez,",  D(CL),M(CLR)  ",464	,-	,1	,0.8	,77.5	
Jordan Ayew,",  AM(CLR),FW  ",907	,-	,1	,0.4	,83.4	
Lukasz Skorupski,",  GK  ",1350	,-	,-	,-	,73.8	
Robin Knoche,",  D(C)  ",1260	,1	,-	,0.3	,81.2	
Germán Pezzella,",  D(C)  ",912	,-	,-	,0.4	,88.5	
Íñigo Lekue,",  D(LR),M(LR)  ",949	,-	,1	,0.8	,82.8	
Castello Lukeba,",  D(C)  ",1260	,1	,-	,0.2	,88.9	
Gianluca Mancini,",  D(C),DMC  ",1200	,-	,1	,0.5	,84.9	
Tom Krauß,",  DMC  ",1239	,1	,-	,0.9	,75.4	
Memeh Okoli,",  D(C)  ",842	,-	,-	,0.4	,76.9	
Yannick Carrasco,",  M(CLR),FW  ",742	,1	,-	,1.6	,84.2	
Pau Torres,",  D(C)  ",1170	,-	,-	,0.3	,86.6	
Anthony Gordon,",  AM(LR)  ",986	,3	,-	,1.6	,77.2	
Steffen Tigges,",  FW  ",726	,3	,-	,1	,58	
Patrik Schick,",  AM(R),FW  ",861	,2	,-	,2.5	,70	
Tuta,",  D(C)  ",1341	,1	,-	,0.4	,80.4	
Joaquín Fernández,",  D(C),DMC  ",955	,1	,-	,0.5	,84	
Ricardo Rodríguez,",  D(CL),M(L)  ",946	,-	,-	,0.4	,85.8	
Edimilson Fernandes,",  D(C),M(CR)  ",821	,-	,1	,0.5	,75.1	
Corentin Tolisso,",  D(R),M(CR)  ",546	,-	,-	,0.5	,88.5	
Óliver Torres,",  M(CLR)  ",860	,3	,-	,0.6	,80.1	
André Silva,",  FW  ",796	,2	,1	,1.7	,72.5	
Ashley Young,",  D(LR),M(LR)  ",726	,1	,-	,0.5	,76.8	
Marco Silvestri,",  GK  ",1350	,-	,-	,-	,73.1	
Arnaud Kalimuendo,",  FW  ",610	,3	,1	,1.2	,83.3	
Matteo Bianchetti,",  D(C)  ",905	,1	,-	,0.5	,78.7	
Filippo Bandinelli,",  M(C)  ",1060	,2	,-	,0.9	,76.5	
Oliver Christensen,",  GK  ",1350	,-	,-	,-	,67.8	
Lucas Torró,",  DMC  ",1127	,-	,-	,1	,82.1	
Lee Jae-Sung,",  AM(CL),FW  ",821	,2	,1	,0.9	,77	
Komnen Andric,",  FW  ",1020	,4	,1	,1.5	,76.8	
Jhon Lucumí,",  D(C)  ",1012	,-	,1	,0.2	,86.2	
Idrissa Gueye,",  M(C)  ",742	,-	,-	,-	,85.5	
Mehdi Bourabia,",  M(C)  ",1142	,-	,1	,0.5	,80.3	
Robert Skov,",  D(L),M(LR)  ",941	,3	,1	,2.2	,72.1	
Janik Haberer,",  M(CLR),FW  ",859	,3	,1	,1.2	,68.4	
Jaume Costa,",  D(LR),M(L)  ",966	,-	,1	,0.6	,79	
Giorgi Mamardashvili,",  GK  ",1260	,-	,-	,-	,76.3	
Harvey Elliott,",  AM(CR)  ",862	,1	,1	,1.4	,83.4	
Maximilian Eggestein,",  M(CR)  ",1021	,-	,2	,0.4	,79	
Weston McKennie,",  D(C),M(CLR)  ",723	,1	,1	,0.7	,82.6	
Marvin Plattenhardt,",  D(L),M(L)  ",1000	,-	,2	,0.2	,75	
Angel Gomes,",  M(CL),FW  ",1107	,1	,1	,1.5	,88.3	
Ethan Ampadu,",  D(C),DMC  ",838	,-	,1	,0.9	,76.5	
Emil Audero,",  GK  ",1350	,-	,-	,-	,63.2	
Romain Perraud,",  D(L),M(L)  ",854	,2	,2	,1.5	,76.2	
Maxence Lacroix,",  D(C)  ",805	,1	,-	,0.2	,86.5	
Manuel Lazzari,",  D(R),M(R)  ",1002	,-	,-	,0.1	,89.1	
Maya Yoshida,",  D(CR)  ",1339	,-	,-	,0.3	,77.8	
Nemanja Matic,",  DMC  ",794	,1	,1	,0.4	,85.7	
Andy Delort,",  AM(R),FW  ",749	,5	,-	,2.1	,65	
Franco Cervi,",  AM(CL)  ",1025	,-	,2	,1.1	,77.4	
Odsonne Édouard,",  AM(L),FW  ",771	,3	,2	,1.3	,77.9	
Tim Ream,",  D(CL),DMC  ",1348	,-	,-	,0.1	,85.9	
Ollie Watkins,",  AM(LR),FW  ",1173	,2	,3	,1.9	,72	
Bradley Locko,",  D(L),M(L)  ",1058	,-	,-	,0.4	,81.2	
Nicolas Cozza,",  D(CL)  ",1236	,2	,1	,0.5	,72.9	
Youssouf Sabaly,",  D(LR),M(R)  ",631	,-	,-	,0.3	,82.6	
Álex Baena,",  AM(C)  ",626	,4	,-	,1.4	,77.7	
Christopher Jullien,",  D(C)  ",900	,-	,-	,0.6	,82.9	
Demarai Gray,",  AM(CLR),FW  ",1289	,1	,-	,1.9	,79.3	
Wesley Saïd,",  AM(CLR),FW  ",398	,5	,-	,1.5	,84.9	
Sasa Lukic,",  M(C)  ",924	,2	,-	,1	,88.7	
Robert Andrich,",  M(C)  ",982	,1	,2	,0.7	,84	
Chris Führich,",  M(CLR),FW  ",880	,2	,-	,1.1	,79.7	
Wilfried Kanga,",  FW  ",938	,2	,-	,1.5	,65.3	
Axel Witsel,",  D(C),M(C)  ",1068	,-	,-	,0.4	,93.6	
Martin Valjent,",  D(C)  ",1156	,-	,-	,-	,82.3	
Pedro,",  M(CLR),FW  ",679	,2	,2	,1.2	,83.4	
Robert Gumny,",  D(CLR)  ",836	,1	,1	,0.3	,61.3	
Marin Pongracic,",  D(C)  ",792	,-	,-	,0.1	,82	
Lorenzo Montipò,",  GK  ",1350	,-	,-	,-	,62.3	
Juan Bernat,",  D(L),M(CL)  ",598	,1	,-	,0.3	,92.7	
Raphaël Varane,",  D(C)  ",686	,-	,-	,0.1	,83.8	
Emerson Royal,",  D(R),M(R)  ",904	,-	,1	,0.8	,82	
Kike Pérez,",  AM(C)  ",968	,-	,1	,1.3	,80.4	
Renaud Ripart,",  D(R),M(CLR),FW  ",747	,2	,1	,2.1	,73	
Gavin Bazunu,",  GK  ",1350	,-	,-	,-	,57.4	
Jirí Pavlenka,",  GK  ",1289	,-	,-	,-	,67.2	
Mario Pasalic,",  M(CLR)  ",879	,1	,2	,0.6	,80.7	
Pablo Maffeo,",  D(R),M(R)  ",1020	,1	,-	,0.4	,72.8	
Óscar Plano,",  AM(CLR),FW  ",831	,1	,1	,1	,76.2	
Crysencio Summerville,",  AM(R)  ",468	,4	,-	,1.1	,77.9	
Xavier Chavalerin,",  DMC,M(L)  ",720	,1	,1	,0.8	,86.3	
Thomas Lemar,",  AM(CLR)  ",391	,-	,2	,0.1	,89.5	
Evan Ndicka,",  D(CL)  ",1343	,-	,-	,0.3	,86.6	
Juan Iglesias,",  D(LR),M(R)  ",1026	,1	,-	,0.8	,65.3	
Mikkel Desler,",  D(R)  ",1009	,-	,1	,0.4	,85.5	
Lukas Nmecha,",  AM(CR),FW  ",822	,4	,-	,1.8	,65.3	
Tyler Adams,",  D(R),M(CR)  ",1167	,-	,-	,0.2	,82.3	
Désiré Doué,",  Midfielder  ",401	,2	,-	,0.8	,84.8	
Sead Kolasinac,",  D(CL),DMC,M(L)  ",491	,1	,1	,0.2	,82.9	
Hugo Guillamón,",  D(C),DMC  ",919	,1	,4	,0.2	,84.7	
Jean-Charles Castelletto,",  D(C)  ",929	,-	,-	,0.3	,81.1	
David Okereke,",  AM(CLR),FW  ",1155	,3	,-	,1.9	,69.6	
Marten de Roon,",  D(C),DMC  ",1030	,-	,1	,0.2	,79.1	
Nuno da Costa,",  AM(LR),FW  ",807	,2	,-	,1.1	,68.8	
Bartlomiej Dragowski,",  GK  ",1213	,-	,-	,-	,63.2	
Saîf-Eddine Khaoui,",  AM(CR)  ",744	,2	,2	,1.1	,74.2	
Kerem Demirbay,",  M(C)  ",788	,3	,3	,1	,79.3	
Mateusz Wieteska,",  D(C)  ",1350	,-	,1	,0.5	,83.6	
Valentín Castellanos,",  AM(R),FW  ",1122	,3	,-	,2.1	,67.8	
Alberto Grassi,",  DMC  ",325	,-	,-	,0.4	,80.1	
Samuele Ricci,",  M(C)  ",713	,-	,1	,0.6	,91.4	
Harrison Reed,",  D(R),M(CR)  ",1180	,2	,1	,0.8	,75.6	
Sean Longstaff,",  DMC  ",1052	,1	,2	,0.8	,81.6	
Marco Reus,",  M(CLR),FW  ",640	,2	,2	,1.4	,77.9	
Arthur Theate,",  D(C)  ",1350	,1	,-	,0.5	,89.1	
Patson Daka,",  FW  ",641	,3	,2	,1.3	,67.4	
Thijs Dallinga,",  FW  ",907	,3	,1	,1.3	,67.7	
Stephane Singo,",  M(R)  ",750	,-	,1	,0.7	,76.6	
Jan Thielmann,",  AM(CLR),FW  ",488	,1	,1	,0.9	,68.3	
Christian Eriksen,",  M(CLR),FW  ",1048	,1	,4	,1.5	,82	
Dimitri Payet,",  M(CLR),FW  ",464	,1	,3	,1.2	,79.5	
Dwight McNeil,",  AM(CLR)  ",735	,2	,-	,0.7	,80.2	
Tosin Adarabioyo,",  D(CR)  ",900	,1	,-	,0.3	,80.2	
Hiroki Ito,",  D(C)  ",1077	,-	,1	,0.7	,81.4	
Geoffrey Kondogbia,",  D(C),DMC  ",720	,-	,1	,0.7	,89.9	
Niklas Stark,",  D(C),DMC  ",644	,-	,-	,0.2	,82	
Aleksey Miranchuk,",  M(CR),FW  ",684	,2	,1	,1.3	,84	
Bobby De Cordova-Reid,",  D(R),M(CLR),FW  ",1216	,3	,1	,1.2	,72.9	
Petar Stojanovic,",  D(R),M(R)  ",949	,-	,1	,0.4	,76.5	
Ansgar Knauff,",  M(LR)  ",639	,1	,-	,1	,64.5	
Nehuén Pérez,",  D(C)  ",1065	,1	,-	,0.5	,85.2	
Karol Linetty,",  M(CLR)  ",954	,1	,-	,0.6	,86.6	
Timo Hübers,",  D(C)  ",1028	,-	,-	,0.1	,83.4	
Henrikh Mkhitaryan,",  M(CLR),FW  ",664	,1	,1	,0.8	,87	
Michele Di Gregorio,",  GK  ",1350	,-	,-	,-	,74.1	
Rani Khedira,",  D(C),DMC  ",1216	,-	,-	,0.9	,75.1	
Lucas Digne,",  D(CL),M(L)  ",812	,1	,-	,0.4	,79	
