Name,Positions,AveragePasses,Crosses,LongBalls,ThroughBalls
Marshall Munetsi,",  D(C),DMC  ",24.4	,0.1	,1.1	,-	
Kalidou Koulibaly,",  D(C)  ",67.6	,-	,4	,-	
Eray Cömert,",  D(C)  ",50	,-	,3.6	,-	
Kenny Tete,",  D(CR),M(R)  ",29.3	,0.4	,1.1	,-	
Aaron Cresswell,",  D(CL),M(L)  ",48.2	,1.9	,2.7	,0.1	
Michael Olise,",  AM(CLR)  ",25.7	,1.1	,0.8	,-	
Stijn Spierings,",  M(C)  ",57.7	,0.1	,4.2	,-	
José Giménez,",  D(CR)  ",40.3	,-	,3.1	,-	
Lisandro Martínez,",  D(CL),DMC  ",57.6	,-	,2.2	,0.1	
Virgil van Dijk,",  D(C)  ",81.1	,-	,4.6	,-	
Laurent Abergel,",  DMC  ",37.5	,-	,1.3	,0.3	
Rui Silva,",  GK  ",29.1	,-	,7.4	,-	
Stefan de Vrij,",  D(C)  ",47.8	,-	,1.4	,-	
Anthony Rouault,",  D(C)  ",51.7	,-	,3.5	,-	
Che Adams,",  AM(CL),FW  ",17.6	,0.1	,1.1	,0.1	
Ellyes Skhiri,",  DMC  ",51.6	,0.1	,2.5	,-	
Lukasz Fabianski,",  GK  ",21.3	,-	,5.5	,-	
Fernando Martínez,",  GK  ",30.8	,-	,5.1	,-	
Mouctar Diakhaby,",  D(C)  ",44.2	,-	,5.1	,-	
Harvey Barnes,",  AM(CL)  ",23.1	,-	,0.4	,0.1	
Eric García,",  D(C)  ",55.3	,-	,3.4	,-	
Salis Abdul Samed,",  DMC  ",59.9	,0.1	,1.6	,0.1	
Florian Niederlechner,",  AM(CR),FW  ",13.7	,-	,0.1	,-	
Oriol Romeu,",  DMC  ",50.4	,0.2	,3.1	,-	
Hamari Traoré,",  D(R),M(R)  ",56.9	,0.7	,2.1	,-	
Noussair Mazraoui,",  D(R)  ",34.5	,0.2	,0.4	,0.1	
Leonardo Balerdi,",  D(C)  ",47.1	,-	,3.5	,-	
Sergio Escudero,",  D(L),M(L)  ",29.4	,0.7	,1.2	,-	
David García,",  D(C)  ",39.1	,-	,4	,-	
Loïs Openda,",  FW  ",11.9	,0.1	,0.1	,0.1	
Stefan Savic,",  D(C)  ",51	,-	,3.4	,-	
Álex Moreno,",  D(L),M(L)  ",36.4	,0.2	,1.2	,-	
Pasquale Mazzocchi,",  D(R),M(LR)  ",27.7	,1.1	,1.5	,0.1	
Ben Davies,",  D(CL),M(L)  ",53.2	,0.3	,2.8	,-	
Karim Onisiwo,",  AM(LR),FW  ",20.5	,0.5	,-	,-	
Dan Burn,",  D(CL),M(L)  ",36.8	,0.1	,1.7	,-	
Felix Nmecha,",  M(C)  ",15	,-	,0.5	,0.1	
Marius Wolf,",  D(R),M(CLR)  ",23.6	,0.5	,1.4	,-	
Andreas Pereira,",  M(CLR)  ",25.1	,2.3	,1.6	,-	
Sergio Ramos,",  D(CR)  ",67.6	,0.2	,4.2	,-	
Jordan Veretout,",  M(C)  ",43.7	,0.2	,2.7	,0.1	
Eric Dier,",  D(CR),DMC  ",66.7	,0.1	,5.1	,-	
Mohamed Simakan,",  D(CR)  ",50.6	,0.1	,2.4	,0.1	
Gavi,",  AM(CL)  ",29.7	,0.2	,1.1	,0.1	
Gregor Kobel,",  GK  ",34.6	,-	,5.5	,-	
Gonzalo Plata,",  AM(R)  ",19.5	,0.1	,0.2	,0.1	
Dante,",  D(C)  ",69.6	,-	,4.9	,-	
Denzel Dumfries,",  D(R),M(R)  ",20.9	,0.5	,0.7	,-	
Yunis Abdelhamid,",  D(C)  ",42.2	,-	,3	,-	
Vicente Guaita,",  GK  ",27.1	,-	,5.8	,-	
Johan Gastien,",  DMC  ",73.1	,0.6	,5.7	,-	
César Azpilicueta,",  D(CLR),M(R)  ",39.8	,0.3	,0.3	,-	
Steve Mandanda,",  GK  ",25.7	,-	,7.6	,-	
Lazar Samardzic,",  M(C)  ",17.1	,0.5	,2.1	,-	
Mario Lemina,",  DMC  ",51.9	,-	,2	,-	
Alex Iwobi,",  M(CLR)  ",40	,0.3	,2.1	,0.1	
Dejan Ljubicic,",  M(CR)  ",21	,0.2	,1.4	,0.2	
Jimmy Cabot,",  M(LR)  ",23	,1.2	,1.2	,0.1	
Silas Mvumpa,",  M(LR),FW  ",13.4	,0.4	,0.2	,-	
Ante Rebic,",  AM(CLR),FW  ",13.3	,0.2	,0.5	,0.2	
James Justin,",  D(CLR),M(LR)  ",48.7	,0.5	,1.9	,-	
Óscar Trejo,",  M(CLR),FW  ",31	,0.2	,0.8	,0.3	
Azzedine Ounahi,",  AM(CR)  ",40.8	,0.2	,2.2	,0.1	
Facundo Medina,",  D(CL)  ",79.1	,0.1	,3	,0.1	
Ola Aina,",  D(CLR),M(LR)  ",26.2	,0.7	,1	,-	
Alidu Seidu,",  D(CR)  ",43.5	,0.4	,1.6	,-	
Nemanja Gudelj,",  D(C),M(C)  ",44.3	,-	,1.3	,-	
Vanderson,",  D(R),M(R)  ",32	,0.5	,2.4	,-	
Cheick Oumar Doucouré,",  DMC  ",40.3	,0.1	,1.8	,0.1	
Brice Samba,",  GK  ",29.7	,-	,6.3	,-	
Lewis Ferguson,",  M(C)  ",24.2	,0.2	,0.6	,0.1	
Martín Zubimendi,",  DMC  ",47.5	,-	,2.3	,0.1	
Emmanuel Agbadou,",  D(C),DMC  ",40.1	,-	,3.4	,0.3	
Edu Expósito,",  M(C)  ",22.4	,0.4	,1.2	,0.1	
Federico Baschirotto,",  D(C)  ",36.5	,0.1	,3.6	,0.1	
Lars Stindl,",  M(CLR),FW  ",23.7	,0.5	,0.5	,0.2	
Johann Lepenant,",  M(C)  ",49.7	,-	,2.6	,-	
Óscar Rodríguez,",  AM(CLR)  ",42.9	,0.8	,2.5	,-	
Farès Chaïbi,",  Midfielder  ",20.5	,0.2	,0.7	,0.2	
Nicolás Domínguez,",  M(C)  ",35.1	,-	,1.8	,0.3	
Thierry Correia,",  D(R),M(R)  ",49.4	,1	,2.9	,-	
Montassar Talbi,",  D(C)  ",46.2	,-	,1.5	,-	
Bryan Mbeumo,",  AM(LR),FW  ",18.1	,0.8	,0.7	,0.1	
Javi Galán,",  D(L),M(L)  ",43	,0.8	,1.8	,-	
Arkadiusz Milik,",  AM(C),FW  ",16.8	,-	,0.3	,0.1	
Mounaïm El Idrissy,",  FW  ",17.4	,0.1	,0.3	,-	
Quentin Merlin,",  D(L),M(L)  ",47.8	,1.8	,3.2	,-	
Philipp Lienhart,",  D(C)  ",62.7	,-	,4.6	,0.1	
Mohammed Salisu,",  D(CL)  ",49.7	,0.2	,3.3	,0.1	
Nikola Vlasic,",  AM(CLR),FW  ",27.9	,0.3	,0.5	,-	
Takefusa Kubo,",  AM(CLR),FW  ",22	,0.6	,0.3	,-	
Milos Veljkovic,",  D(C),DMC  ",47.8	,-	,5.3	,-	
Jonjoe Kenny,",  D(LR),M(R)  ",39.1	,0.5	,2.9	,-	
Leonardo Sernicola,",  M(R)  ",19.1	,1.3	,0.9	,-	
Santi Comesaña,",  M(C)  ",29	,-	,1.3	,-	
Óscar Valentín,",  DMC  ",33.6	,0.1	,2.3	,-	
Brian Oliván,",  D(CL)  ",28.8	,1.3	,2.5	,-	
Brenden Aaronson,",  AM(CLR)  ",28.6	,0.8	,0.4	,0.1	
Vitinha,",  M(C)  ",50.4	,-	,1.3	,-	
Samu Castillejo,",  AM(CLR)  ",22.3	,0.6	,0.9	,-	
Luke Shaw,",  D(CL),M(L)  ",54	,0.8	,1.8	,-	
Flavien Tait,",  M(CLR)  ",42	,0.1	,2.7	,0.1	
Habib Diallo,",  AM(R),FW  ",17.4	,-	,0.3	,0.1	
Hugo Lloris,",  GK  ",25.1	,-	,4.7	,-	
Luca Pellegrini,",  D(L),M(L)  ",32.6	,0.9	,2.4	,0.1	
Maxime Estève,",  D(C)  ",28.1	,-	,1.5	,-	
Nico Elvedi,",  D(CLR)  ",64.2	,-	,2.2	,-	
Joe Gomez,",  D(CLR)  ",69.7	,-	,4.2	,-	
Walace,",  DMC  ",48.1	,0.1	,2.4	,-	
Óscar De Marcos,",  D(LR),M(CR)  ",41	,1.4	,1.7	,-	
Alejandro Catena,",  D(C)  ",55.1	,-	,7.4	,0.1	
Brahim Díaz,",  AM(CLR)  ",17.1	,0.1	,0.4	,-	
Kaoru Mitoma,",  M(L)  ",15.9	,-	,-	,0.1	
Mattéo Guendouzi,",  M(C)  ",42.4	,0.1	,2.3	,-	
Djibril Sow,",  M(C)  ",44.9	,0.1	,1.3	,-	
Marc Roca,",  DMC  ",42.1	,0.1	,2.5	,-	
Antonio Raíllo,",  D(C)  ",36.3	,-	,2.6	,-	
Mathias Autret,",  M(CLR)  ",26.6	,1	,3.6	,0.1	
Lucas Robertone,",  AM(C)  ",27.6	,1	,1.5	,0.1	
Ivan Perisic,",  M(CLR),FW  ",21	,1.9	,1	,-	
Kiernan Dewsbury-Hall,",  M(C)  ",37.9	,0.2	,2	,0.1	
Danny Welbeck,",  AM(CLR),FW  ",14.4	,-	,0.1	,0.1	
Yeremy Pino,",  AM(LR)  ",17.5	,0.2	,0.4	,-	
Christian Günter,",  D(L),M(L)  ",31.1	,1.9	,1.8	,-	
Santiago Bueno,",  D(C)  ",58	,0.1	,4.1	,-	
Rolando Mandragora,",  DMC  ",33.6	,0.6	,2.6	,0.1	
Kevin Stöger,",  M(CL)  ",47.3	,1.2	,4.2	,0.4	
Amadou Onana,",  DMC  ",27.1	,-	,1	,0.1	
Julien Laporte,",  D(C)  ",42.5	,-	,3.3	,-	
Aaron Ramsey,",  M(CLR)  ",30.2	,0.6	,1.8	,-	
Elye Wahi,",  AM(L),FW  ",13.9	,-	,0.2	,-	
Nicolas Pallois,",  D(C)  ",43.5	,-	,3.9	,-	
Xaver Schlager,",  M(C)  ",47.7	,0.1	,3.5	,0.1	
Nordi Mukiele,",  D(CR),M(R)  ",29.5	,-	,0.6	,-	
Marcel Sabitzer,",  M(CLR),FW  ",32.4	,-	,0.9	,-	
Mathias Jensen,",  M(C)  ",33.9	,1.4	,3.3	,0.1	
Aaron Ramsdale,",  GK  ",24	,-	,4.5	,-	
﻿Javi Sánchez,",  D(C)  ",39.1	,-	,3.3	,-	
Guillermo Maripán,",  D(C)  ",35.6	,-	,2.2	,-	
Patric,",  D(CR),M(R)  ",56.1	,-	,5.7	,-	
Saïd Benrahma,",  AM(CLR)  ",20.2	,0.3	,0.5	,-	
Jack Harrison,",  AM(CLR),FW  ",26	,1	,0.6	,0.1	
Kyle Walker-Peters,",  D(LR),M(R)  ",31.1	,0.4	,1.1	,-	
Daniel Amartey,",  D(CR),DMC  ",53.4	,-	,1.9	,0.2	
Íñigo Martínez,",  D(C)  ",55.8	,-	,5.6	,-	
Marco Friedl,",  D(CL),M(L)  ",52.9	,0.6	,6.4	,-	
Vitaly Janelt,",  DMC  ",28.7	,0.1	,2.1	,-	
Joe Aribo,",  M(CLR),FW  ",20.4	,-	,0.3	,-	
Perr Schuurs,",  D(C)  ",29.9	,-	,1.8	,-	
Emil Holm,",  M(R)  ",22.1	,0.4	,0.2	,-	
Zeki Çelik,",  D(R),M(R)  ",31.9	,0.4	,1.9	,-	
Thiago Mendes,",  D(CR),M(CR)  ",64.3	,-	,3.7	,0.1	
Jonas Omlin,",  GK  ",25.9	,-	,4.1	,-	
John Stones,",  D(CR)  ",68.6	,-	,2.6	,-	
Yannick Gerhardt,",  D(L),M(CL)  ",23.9	,0.2	,1	,-	
Emanuel Aiwu,",  D(C)  ",33.2	,0.1	,1.5	,0.1	
Nathan Patterson,",  D(R),M(R)  ",27.5	,0.1	,0.9	,-	
Oihan Sancet,",  M(C),FW  ",25.5	,-	,0.6	,0.1	
Illan Meslier,",  GK  ",24.7	,-	,3	,-	
Arnau Martinez,",  D(R)  ",33.8	,0.5	,0.8	,-	
Roque Mesa,",  DMC  ",38.8	,0.2	,4.7	,0.2	
Dennis Geiger,",  M(C)  ",32.5	,0.5	,2.3	,-	
Tiago Djaló,",  D(CLR)  ",54.5	,-	,2.6	,-	
Florian Lejeune,",  D(C)  ",43.7	,-	,4.4	,-	
Morgan Gibbs-White,",  AM(CR),FW  ",26.2	,1.2	,0.9	,0.4	
Hans Hateboer,",  D(R),M(R)  ",33.7	,0.5	,1.2	,0.1	
Raheem Sterling,",  M(CLR),FW  ",24.6	,0.5	,0.2	,0.1	
Faitout Maouassa,",  D(L),M(LR)  ",9.8	,0.8	,0.4	,0.1	
Manuel Riemann,",  GK  ",49.2	,0.1	,17.9	,-	
Dominik Kohr,",  DMC  ",43.1	,-	,1.8	,0.2	
Maximiliano Caufriez,",  D(CR)  ",46.1	,-	,2.8	,-	
Ansu Fati,",  AM(L)  ",14.9	,0.1	,0.1	,-	
Leon Bailey,",  M(CLR),FW  ",13.4	,0.9	,0.3	,0.1	
Mostafa Mohamed,",  FW  ",9	,0.1	,0.1	,-	
Matteo Pessina,",  AM(CR)  ",43.3	,0.3	,1.5	,0.1	
Domingos Duarte,",  D(C)  ",30.8	,-	,3	,-	
Marcelo Brozovic,",  M(CR)  ",47.3	,0.1	,2.7	,0.1	
Alex Meret,",  GK  ",24.8	,-	,3.7	,-	
Adrián Embarba,",  AM(CLR),FW  ",14	,1.1	,1.2	,-	
Léo Baptistão,",  AM(CLR),FW  ",15.5	,0.3	,0.6	,0.1	
Waldemar Anton,",  D(CR),DMC  ",59.7	,0.3	,3.4	,-	
Alex Sandro,",  D(CL),M(L)  ",36	,0.2	,2.5	,-	
Lassana Coulibaly,",  M(CL)  ",32.5	,-	,0.5	,0.1	
Beto,",  FW  ",6.5	,-	,0.1	,-	
Fabinho,",  D(CR),DMC  ",52.1	,-	,2.7	,0.1	
Anthony Jung,",  D(CL),M(L)  ",36	,0.5	,1.7	,-	
Fran García,",  D(L)  ",41.8	,1	,1.6	,-	
Leonardo Bonucci,",  D(C)  ",38.9	,-	,3.4	,0.1	
Edgar Badia,",  GK  ",26.3	,-	,7.9	,-	
Sergio Camello,",  FW  ",12.8	,-	,0.4	,0.1	
Sebastian Rode,",  D(R),M(C)  ",28.6	,-	,1.1	,0.1	
Vitaliy Mykolenko,",  D(CL),M(L)  ",35.6	,0.7	,1.2	,-	
Luis Alberto,",  AM(CL),FW  ",28.8	,0.5	,1.3	,0.3	
Maxence Caqueret,",  DMC  ",49.3	,0.3	,1.8	,0.1	
Predrag Rajkovic,",  GK  ",30.2	,-	,8.5	,-	
Boubakary Soumaré,",  DMC  ",34	,-	,1.3	,0.1	
Grischa Prömel,",  M(C)  ",25.8	,0.2	,0.9	,-	
Wahbi Khazri,",  M(CLR),FW  ",16.4	,0.1	,1.1	,-	
Sergi Roberto,",  D(R),M(CR)  ",29	,0.4	,1.2	,-	
Ferland Mendy,",  D(L),M(L)  ",47.5	,0.1	,1.3	,-	
Jubal,",  D(C)  ",38.9	,0.1	,5.1	,-	
Koray Günter,",  D(C)  ",32.1	,0.1	,3	,-	
Kai Havertz,",  M(CR),FW  ",21.6	,0.1	,0.2	,-	
Muhammed Cham,",  AM(C)  ",28.3	,0.5	,1.3	,0.2	
Vincent Le Goff,",  D(L),M(L)  ",43.2	,0.4	,1.3	,0.1	
Munas Dabbur,",  AM(C),FW  ",13.8	,0.1	,0.4	,-	
Jeffrey Gouweleeuw,",  D(C)  ",35.9	,-	,3.6	,0.1	
Koke,",  M(CLR)  ",45.6	,0.2	,2	,-	
Kurt Zouma,",  D(CR)  ",40.9	,-	,2.4	,-	
Flavius Daniliuc,",  D(CR)  ",51.1	,-	,4.5	,-	
Justin Kluivert,",  AM(LR)  ",12.9	,0.5	,0.4	,-	
João Félix,",  AM(CL),FW  ",13.4	,0.1	,0.3	,0.4	
Danilo Cataldi,",  M(C)  ",44	,1	,2.2	,-	
Yvon Mvogo,",  GK  ",26.8	,-	,5.9	,-	
Massadio Haïdara,",  D(CL),M(L)  ",30.9	,-	,1.1	,-	
Ederson,",  GK  ",32.9	,-	,4.6	,0.1	
Adam Marusic,",  D(CLR),M(LR)  ",48.6	,0.1	,1.8	,-	
Saúl Ñíguez,",  D(CL),M(CLR)  ",18.2	,-	,0.5	,-	
Jordan Ayew,",  AM(CLR),FW  ",19.8	,0.2	,0.2	,-	
Lukasz Skorupski,",  GK  ",30.3	,-	,5.7	,-	
Robin Knoche,",  D(C)  ",50.6	,-	,4.9	,-	
Germán Pezzella,",  D(C)  ",42	,-	,2.3	,0.1	
Íñigo Lekue,",  D(LR),M(LR)  ",41.1	,0.4	,2.4	,-	
Castello Lukeba,",  D(C)  ",67.9	,-	,1.7	,-	
Gianluca Mancini,",  D(C),DMC  ",45.5	,0.2	,3.1	,-	
Tom Krauß,",  DMC  ",24.9	,-	,0.9	,-	
Memeh Okoli,",  D(C)  ",29.3	,-	,1.4	,-	
Yannick Carrasco,",  M(CLR),FW  ",22.9	,0.8	,0.7	,0.1	
Pau Torres,",  D(C)  ",59.1	,-	,4.9	,-	
Anthony Gordon,",  AM(LR)  ",16.3	,0.2	,0.4	,0.1	
Steffen Tigges,",  FW  ",11.5	,-	,0.4	,-	
Patrik Schick,",  AM(R),FW  ",19.7	,0.1	,0.1	,-	
Tuta,",  D(C)  ",54.2	,-	,2.1	,-	
Joaquín Fernández,",  D(C),DMC  ",37.5	,-	,3.1	,-	
Ricardo Rodríguez,",  D(CL),M(L)  ",47	,0.3	,2.5	,-	
Edimilson Fernandes,",  D(C),M(CR)  ",29.1	,0.4	,3.4	,-	
Corentin Tolisso,",  D(R),M(CR)  ",48.7	,0.4	,3.7	,0.3	
Óliver Torres,",  M(CLR)  ",33.9	,0.3	,2.6	,0.1	
André Silva,",  FW  ",15.3	,-	,0.2	,0.1	
Ashley Young,",  D(LR),M(LR)  ",28.2	,0.5	,2.1	,0.2	
Marco Silvestri,",  GK  ",24.1	,-	,4.9	,-	
Arnaud Kalimuendo,",  FW  ",13.2	,-	,0.2	,-	
Matteo Bianchetti,",  D(C)  ",32.4	,0.1	,1.7	,-	
Filippo Bandinelli,",  M(C)  ",25.5	,1	,0.9	,-	
Oliver Christensen,",  GK  ",32.7	,-	,8.1	,-	
Lucas Torró,",  DMC  ",33.9	,-	,0.9	,-	
Lee Jae-Sung,",  AM(CL),FW  ",24.4	,0.2	,0.7	,-	
Komnen Andric,",  FW  ",19.9	,-	,0.7	,-	
Jhon Lucumí,",  D(C)  ",49.7	,0.1	,3	,-	
Idrissa Gueye,",  M(C)  ",42.2	,-	,1.2	,-	
Mehdi Bourabia,",  M(C)  ",38.6	,0.4	,1.5	,0.1	
Robert Skov,",  D(L),M(LR)  ",26.1	,0.9	,1.6	,-	
Janik Haberer,",  M(CLR),FW  ",16.1	,0.2	,0.6	,0.1	
Jaume Costa,",  D(LR),M(L)  ",29.9	,0.7	,1.5	,-	
Giorgi Mamardashvili,",  GK  ",25.6	,-	,4.1	,-	
Harvey Elliott,",  AM(CR)  ",35.6	,0.2	,1.1	,0.2	
Maximilian Eggestein,",  M(CR)  ",26.6	,0.1	,0.6	,0.1	
Weston McKennie,",  D(C),M(CLR)  ",21.5	,0.5	,0.9	,0.1	
Marvin Plattenhardt,",  D(L),M(L)  ",28.3	,1.6	,1	,-	
Angel Gomes,",  M(CL),FW  ",50	,0.5	,3.1	,0.1	
Ethan Ampadu,",  D(C),DMC  ",42.6	,0.3	,3.1	,0.1	
Emil Audero,",  GK  ",30.6	,-	,6.9	,-	
Romain Perraud,",  D(L),M(L)  ",23.3	,0.5	,0.4	,0.1	
Maxence Lacroix,",  D(C)  ",55	,-	,5.2	,-	
Manuel Lazzari,",  D(R),M(R)  ",36.2	,0.2	,1	,-	
Maya Yoshida,",  D(CR)  ",44.1	,0.1	,3.5	,-	
Nemanja Matic,",  DMC  ",38.7	,0.1	,2.6	,-	
Andy Delort,",  AM(R),FW  ",16.7	,0.1	,0.8	,-	
Franco Cervi,",  AM(CL)  ",25.5	,0.7	,0.5	,-	
Odsonne Édouard,",  AM(L),FW  ",13.9	,-	,-	,-	
Tim Ream,",  D(CL),DMC  ",55.2	,-	,3.5	,-	
Ollie Watkins,",  AM(LR),FW  ",19.4	,0.1	,0.3	,-	
Bradley Locko,",  D(L),M(L)  ",25.1	,0.2	,1	,0.1	
Nicolas Cozza,",  D(CL)  ",31.9	,0.3	,1.5	,0.1	
Youssouf Sabaly,",  D(LR),M(R)  ",33.1	,-	,0.7	,-	
Álex Baena,",  AM(C)  ",15.2	,0.2	,0.5	,0.2	
Christopher Jullien,",  D(C)  ",35.6	,-	,2.6	,-	
Demarai Gray,",  AM(CLR),FW  ",24.1	,1.5	,0.9	,-	
Wesley Saïd,",  AM(CLR),FW  ",9.9	,0.1	,0.4	,-	
Sasa Lukic,",  M(C)  ",43.7	,0.5	,2.7	,-	
Robert Andrich,",  M(C)  ",45.6	,0.1	,1.6	,-	
Chris Führich,",  M(CLR),FW  ",20.1	,0.4	,0.8	,0.1	
Wilfried Kanga,",  FW  ",11.9	,0.1	,-	,-	
Axel Witsel,",  D(C),M(C)  ",46.9	,-	,1.1	,-	
Martin Valjent,",  D(C)  ",38.8	,-	,3.4	,-	
Pedro,",  M(CLR),FW  ",25.9	,0.2	,0.9	,-	
Robert Gumny,",  D(CLR)  ",21.6	,0.3	,1.6	,-	
Marin Pongracic,",  D(C)  ",40.1	,-	,3.2	,-	
Lorenzo Montipò,",  GK  ",27.7	,-	,7.8	,-	
Juan Bernat,",  D(L),M(CL)  ",29.8	,0.2	,0.2	,-	
Raphaël Varane,",  D(C)  ",32.1	,-	,1.7	,-	
Emerson Royal,",  D(R),M(R)  ",37	,0.3	,1.5	,-	
Kike Pérez,",  AM(C)  ",38.1	,0.5	,3.2	,0.1	
Renaud Ripart,",  D(R),M(CLR),FW  ",18	,0.1	,0.4	,-	
Gavin Bazunu,",  GK  ",34.3	,-	,8.9	,-	
Jirí Pavlenka,",  GK  ",32.5	,-	,8.6	,-	
Mario Pasalic,",  M(CLR)  ",22.6	,0.1	,0.8	,-	
Pablo Maffeo,",  D(R),M(R)  ",24.8	,0.6	,1.3	,-	
Óscar Plano,",  AM(CLR),FW  ",15.9	,0.3	,0.7	,0.1	
Crysencio Summerville,",  AM(R)  ",15.4	,0.1	,0.1	,-	
Xavier Chavalerin,",  DMC,M(L)  ",26.9	,0.5	,1.2	,0.1	
Thomas Lemar,",  AM(CLR)  ",26.6	,0.4	,1.4	,0.2	
Evan Ndicka,",  D(CL)  ",55.4	,-	,2.7	,-	
Juan Iglesias,",  D(LR),M(R)  ",23.7	,0.9	,1.5	,-	
Mikkel Desler,",  D(R)  ",43.8	,0.3	,1.3	,-	
Lukas Nmecha,",  AM(CR),FW  ",14.7	,0.1	,0.4	,-	
Tyler Adams,",  D(R),M(CR)  ",57.1	,-	,1.8	,0.1	
Désiré Doué,",  Midfielder  ",13.2	,0.4	,0.4	,-	
Sead Kolasinac,",  D(CL),DMC,M(L)  ",23.4	,-	,0.5	,-	
Hugo Guillamón,",  D(C),DMC  ",46.7	,0.9	,4.3	,-	
Jean-Charles Castelletto,",  D(C)  ",36.6	,0.2	,1.5	,-	
David Okereke,",  AM(CLR),FW  ",15.3	,0.4	,0.6	,-	
Marten de Roon,",  D(C),DMC  ",39.5	,-	,3.2	,-	
Nuno da Costa,",  AM(LR),FW  ",11.8	,0.1	,0.6	,0.1	
Bartlomiej Dragowski,",  GK  ",27.9	,-	,5.9	,-	
Saîf-Eddine Khaoui,",  AM(CR)  ",17.7	,0.4	,0.6	,0.1	
Kerem Demirbay,",  M(C)  ",34.4	,0.8	,1.4	,0.1	
Mateusz Wieteska,",  D(C)  ",48.7	,-	,2.1	,-	
Valentín Castellanos,",  AM(R),FW  ",12.6	,0.1	,0.4	,0.1	
Alberto Grassi,",  DMC  ",17.9	,-	,0.8	,-	
Samuele Ricci,",  M(C)  ",42.8	,-	,1.6	,0.1	
Harrison Reed,",  D(R),M(CR)  ",30.5	,0.5	,1	,-	
Sean Longstaff,",  DMC  ",31.5	,0.3	,1.3	,0.1	
Marco Reus,",  M(CLR),FW  ",24.1	,0.1	,0.2	,-	
Arthur Theate,",  D(C)  ",70.1	,-	,3.9	,-	
Patson Daka,",  FW  ",9.6	,0.1	,-	,0.2	
Thijs Dallinga,",  FW  ",13.5	,-	,0.2	,-	
Stephane Singo,",  M(R)  ",29.5	,0.3	,1.5	,0.1	
Jan Thielmann,",  AM(CLR),FW  ",10.4	,0.4	,0.4	,-	
Christian Eriksen,",  M(CLR),FW  ",50.3	,0.7	,2.8	,0.2	
Dimitri Payet,",  M(CLR),FW  ",18.3	,0.6	,1.1	,-	
Dwight McNeil,",  AM(CLR)  ",16.5	,0.7	,0.6	,0.1	
Tosin Adarabioyo,",  D(CR)  ",47.9	,0.1	,2.4	,-	
Hiroki Ito,",  D(C)  ",55.1	,0.4	,5.8	,-	
Geoffrey Kondogbia,",  D(C),DMC  ",39.7	,-	,1.6	,-	
Niklas Stark,",  D(C),DMC  ",41.2	,-	,3.4	,-	
Aleksey Miranchuk,",  M(CR),FW  ",24.3	,0.2	,1.1	,-	
Bobby De Cordova-Reid,",  D(R),M(CLR),FW  ",30.4	,0.6	,1	,-	
Petar Stojanovic,",  D(R),M(R)  ",37.7	,0.5	,2.4	,-	
Ansgar Knauff,",  M(LR)  ",22.5	,0.2	,0.4	,-	
Nehuén Pérez,",  D(C)  ",53.7	,0.2	,4.6	,-	
Karol Linetty,",  M(CLR)  ",32.9	,0.4	,1.2	,-	
Timo Hübers,",  D(C)  ",56.7	,-	,3.5	,-	
Henrikh Mkhitaryan,",  M(CLR),FW  ",24.9	,0.2	,1	,-	
Michele Di Gregorio,",  GK  ",32.5	,-	,5.8	,-	
Rani Khedira,",  D(C),DMC  ",30.4	,0.1	,1.4	,-	
Lucas Digne,",  D(CL),M(L)  ",40.5	,0.9	,2.1	,-	
Boubacar Kamara,",  D(CL),DMC  ",43.9	,-	,2.4	,-	
Issiaga Sylla,",  D(LR),M(L)  ",39.3	,0.2	,0.9	,-	
Alban Lafont,",  GK  ",27.3	,-	,5.8	,-	
Benjamin Henrichs,",  D(LR),DMC,M(LR)  ",38.4	,0.6	,2	,0.1	
Kevin Akpoguma,",  D(CR),M(R)  ",31.5	,0.2	,1.6	,-	
Mërgim Vojvoda,",  D(CR),M(LR)  ",26.4	,0.1	,0.8	,0.1	
Sergio Akieme,",  D(L)  ",30.9	,0.7	,1.7	,-	
Brendan Chardonnet,",  D(C)  ",47.7	,0.1	,5.8	,-	
Moussa Sissoko,",  M(CR)  ",28.8	,0.6	,1	,-	
Eljif Elmas,",  M(CLR)  ",17.6	,0.2	,0.4	,0.1	
Krépin Diatta,",  M(LR),FW  ",20.6	,0.5	,0.3	,-	
Diogo Leite,",  D(C)  ",51.8	,0.1	,5.2	,-	
Éderson,",  M(C)  ",21.8	,0.2	,1	,-	
MBala Nzola,",  FW  ",18.7	,0.1	,0.1	,-	
Jakub Kiwior,",  D(C),DMC  ",45.3	,0.4	,3.6	,-	
Kasper Schmeichel,",  GK  ",28.8	,-	,7.5	,-	
Pierre Lees-Melou,",  M(CLR)  ",42.3	,0.3	,5.4	,-	
Luiz Henrique,",  AM(LR)  ",15	,0.2	,0.3	,-	
Álex Remiro,",  GK  ",30.4	,-	,8	,-	
Yunus Musah,",  AM(CR)  ",29	,0.1	,2	,0.2	
Robin Zentner,",  GK  ",26.5	,-	,5.8	,-	
Riyad Mahrez,",  AM(CLR),FW  ",25.4	,0.8	,1.8	,0.1	
Rubén García,",  AM(CLR),FW  ",17	,1.2	,1.6	,0.2	
Andreaw Gravillon,",  D(CR)  ",32	,0.3	,2	,0.2	
Jadon Sancho,",  AM(CLR)  ",28.5	,0.1	,0.4	,0.1	
Musa Barrow,",  AM(CL),FW  ",18.6	,1.6	,1.4	,-	
